ID,SKU,Description,Type,Cost,Price,WsalePrice,MaxDiscount,Comments,Unit
44,01463-SHJ-A00-J,CALIPER KIT FRT HONDA ODYSSEY 07-12 RIDGELINE 06-09,1,2203.2,8812.8,0,0,,Unit
45,01463-SJC-A00-G          ,"CALIPER KIT FRT HONDA/RIDGELINE , 06-",1,0,0,0,0,,Unit
46,01463-SM4-000-G          ,CALIPER KIT FRT HONDA/PRELUDE (94-01)   RAFAGA CE4 95-,1,0,0,0,0,,Unit
47,01463-SM4-000-J          ,CALIPER KIT FRT HONDA/PRELUDE (94-01)   RAFAGA CE4 95- CR-V 96-00 ACCORD 90-94,1,5400,5400,0,0,,Unit
48,01463-SM4-A00-J          ,CALIPER KIT FRT HONDA/ACCORD 96- <CR-V RD2 98-01 CIVIC 06-2017,1,5100,5100,0,0,,Unit
49,01463-SM4-A00-N          ,CALIPER KIT FRT HONDA/ACCORD 96- <CR-V RD2 98-01,1,5000,5000,0,0,,Unit
50,01463-SM4-A01-J SINGLE   ,CALIPER KIT FRT HONDA/ACCORD 96- <CR-V RD2 98-01 CIVIC 06-2017,1,1700,3400,0,0,,Unit
51,01463-SR3-000-G          ,CALIPER KIT FRT HONDA/CIVIC 92-95,1,0,0,0,0,,Unit
52,01463-SR3-000-J,CALIPER KIT FRT HONDA/CIVIC 92-95,1,5500,5500,0,0,,Unit
53,01463-SR3-030-J          ,CALIPER KIT FRT HONDA/CIVIC 92-00 INTEGRA 91-00,1,5000,5000,0,0,,Unit
54,01463-SR3-V00-G          ,CALIPER KIT FRT HONDA/CIVIC 94-95 INTEGRA DB9 96-99,1,0,0,0,0,,Unit
55,01463-SR3-V00-J,"CALIPER KIT FRT HONDA/CIVIC 92-05 ,INTEGRA DB9 96-99",1,2500,5500,0,0,,Unit
56,01463-ST7-R00-G          ,CALIPER KIT FRT HONDA/HR-V 99-  CIVIC EK9 TYPE R 98-  ODYSSEY 98-04,1,1825,2007.5,0,0,,Unit
57,01463-ST7-V00-G          ,CALIPER KIT FRT HONDA,1,1850,1850,0,0,,Unit
58,01463-SV4-000-G          ,"CALIPER KIT FRT HONDA/ACCORD (94-97) CR-V (97-01) INSPIRE 95, ODYSSEY 95-97",1,0,0,0,0,,Unit
59,01463-T0A-A00-J,CALIPER KIT FRT HONDA CRV 07-17/ CROSS TOUR 12-15,1,2574.4,7723.2,0,0,,Unit
60,01463-T2G-A00-G          ,CALIPER KIT FRT HONDA/ACCORD 2013-2017 ,1,3281.6,8204,0,0,,Unit
61,01463-TX4-A01-G,CALIPER KIT FRT HONDA/ACCORD 2014-2017 HYBRID CR-V 2017-2021,1,1567.8,5565.69,0,0,,Unit
62,01464-S04-J00            ,BRAKE HOSE FRT (RH) HONDA/CIVIC 96 ,1,0,0,0,0,,Unit
63,01464-S04-J00-G          ,BRAKE HOSE FRT (RH) HONDA/CIVIC 96,1,0,0,0,0,,Unit
64,01464-S04-J01-G          ,BRAKE HOSE FRT (RH) HONDA/CIVIC 97-99,1,0,0,0,0,,Unit
65,01464-S0A-020-G          ,BRAKE HOSE FRT (RH) HONDA/ACCORD CF-3/CF-4 98-,1,0,0,0,0,,Unit
66,01464-S0A-942-G          ,BRAKE HOSE FRT (RH) HONDA/ACCORD CF-3 TORNEO 1.8 98-,1,0,0,0,0,,Unit
67,01464-S10-010-G          ,BRAKE HOSE FRT (RH) HONDA/CR-V 96-01,1,2530,2783,0,0,,Unit
68,01464-S2H-000-G          ,BRAKE HOSE FRT (L&R) HONDA/HR-V 99-,1,0,0,0,0,,Unit
69,01464-S2X-000-G          ,BRAKE HOSE FRT (RH) HONDA/ODYSSEY 2.3 01-,1,0,0,0,0,,Unit
70,01464-S5A-J02-G          ,BRAKE HOSE FRT (RH) HONDA/CIVIC 01-,1,2350,4700,0,0,,Unit
71,01464-S6M-A00-G          ,HOSE BRAKE HONDA RSX 02-06 3DR,1,5925.4,11850.8,0,0,,Unit
72,01464-S84-A01            ,BRAKE HOSE FRT (RH) HONDA/ACCORD 98-00 ,1,0,0,0,0,,Unit
73,01464-S84-A01-G          ,BRAKE HOSE FRT (RH) HONDA/ACCORD 98-00,1,0,0,0,0,,Unit
74,01464-S9A-000-G          ,BRAKE HOSE FRT (RH) HONDA/CR-V RD5 02-,1,3950,3950,0,0,,Unit
75,01464-SAA-000-G          ,"BRAKE HOSE FRT RH HONDA/CITY , 1.5 , 03-< FIT , 1.3 , 1.5 , 02-05",1,0,0,0,0,,Unit
76,01464-SDA-A01-G          ,BRAKE HOSE FRT RH HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
77,01464-SJC-A00-G          ,"BRAKE HOSE FRT RH HONDA/RIDGELINE , 06-08",1,0,0,0,0,,Unit
78,01464-SM4-010-G          ,BRAKE HOSE FRT (RH) HONDA/ACCORD 90-93,1,0,0,0,0,,Unit
79,01464-SR3-030-G          ,BRAKE HOSE FRT (RH) HONDA/CIVIC (92-95),1,0,0,0,0,,Unit
80,01464-SR3-N03-G          ,BRAKE HOSE FRT (RH) HONDA CIVIC 94-95,1,0,0,0,0,,Unit
81,01464-SS0-020-G          ,BRAKE HOSE FRT (RH) HONDA/PRELUDE (94-01),1,0,0,0,0,,Unit
82,01464-SV4-000            ,BRAKE HOSE FRT (RH) HONDA/ACCORD 94-97,1,0,0,0,0,,Unit
83,01464-SV4-000-G          ,BRAKE HOSE FRT (RH) HONDA/ACCORD 94-97,1,0,0,0,0,,Unit
84,01464-SW5-000-G          ,BRAKE HOSE FRT (RH) HONDA/INSPIRE UA1 95-,1,0,0,0,0,,Unit
85,01464-TA0-A01-J          ,BRAKE HOSE FRT (RH) HONDA ACCORD 08-12  / TSX 09-14,1,8500,8500,0,0,,Unit
86,01464-TF0-000-G          ,BRAKE HOSE FRT (RH) HONDA/FIT 08-12,1,4688.47,10549.06,0,0,,Unit
87,01464-TL1-G00-G          ,BRAKE HOSE FRT (RH) HONDA/ ACCORD 08-13,1,3817.8,9544.5,0,0,,Unit
88,01465-S04-J01-G          ,BRAKE HOSE FRT (LH) HONDA/CIVIC 96,1,0,0,0,0,,Unit
89,01465-S0A-020-G          ,BRAKE HOSE FRT (LH) HONDA/ACCORD CF-3/CF-4 98-,1,0,0,0,0,,Unit
90,01465-S0A-942-G          ,BRAKE HOSE FRT (LH) HONDA/ACCORD CF-3 TORNEO 1.8 98-,1,0,0,0,0,,Unit
91,01465-S10-010-G          ,BRAKE HOSE FRT (LH) HONDA/CR-V 96-01,1,2530,3542,0,0,,Unit
92,01465-S2X-000-G          ,BRAKE HOSE FRT (LH) HONDA/ODYSSEY 2.3 01-,1,0,0,0,0,,Unit
93,01465-S5A-J02-G          ,"BRAKE HOSE FRT (LH) HONDA/CIVIC , 01-03 ",1,2300,2300,0,0,,Unit
94,01465-S7A-N01-G          ,"BRAKE HOSE FRT (LH) HONDA/STREAM , 01-03",1,0,0,0,0,,Unit
95,01465-S84-A01            ,BRAKE HOSE FRT (LH) HONDA/ACCORD 98-00 ,1,0,0,0,0,,Unit
96,01465-S84-A01-G          ,BRAKE HOSE FRT (LH) HONDA/ACCORD 98-00,1,0,0,0,0,,Unit
97,01465-S9A-000-G          ,BRAKE HOSE FRT (LH) HONDA/CR-V RD5 02-,1,2320,2320,0,0,,Unit
98,01465-SAA-000-G          ,"BRAKE HOSE FRT LH HONDA/CITY , 1.5 , 03- <FIT , 1.3 , 1.5 , 02-05",1,0,0,0,0,,Unit
99,01465-SDA-A01-G          ,BRAKE HOSE FRT LH HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
100,01465-SM4-010-G          ,BRAKE HOSE FRT (LH) HONDA/ACCORD 89-92,1,0,0,0,0,,Unit
101,01465-SM4-010-N          ,BRAKE HOSE FRT (LH) HONDA/ACCORD 89-92,1,6500,6500,0,0,,Unit
102,01465-SR3-020-G          ,BRAKE HOSE FRT (LH) HONDA/CIVIC (92-95),1,0,0,0,0,,Unit
103,01465-SR3-N02            ,BRAKE HOSE FRT (LH) HONDA/CIVIC 94-95,1,0,0,0,0,,Unit
104,01465-SR3-N02-G          ,BRAKE HOSE FRT (LH) HONDA/CIVIC 94-95,1,0,0,0,0,,Unit
105,01465-SS0-010-G          ,BRAKE HOSE FRT (LH) HONDA/PRELUDE (94-01),1,0,0,0,0,,Unit
106,01465-SV4-000            ,BRAKE HOSE FRT (LH) HONDA/ACCORD 94-97,1,0,0,0,0,,Unit
107,01465-SV4-000-G          ,BRAKE HOSE FRT (LH) HONDA/ACCORD 94-97,1,0,0,0,0,,Unit
108,01465-SW5-000-G          ,BRAKE HOSE FRT (LH) HONDA/INSPIRE UA1 95-,1,0,0,0,0,,Unit
109,01465-TA0-A01-J,BRAKE HOSE FRT (LH) HONDA ACCORD 08-120 / TSX 09-14,1,6500,6500,0,0,,Unit
110,01465-TF0-000-G          ,BRAKE HOSE FRT (LH) HONDA/FIT 08-12,1,4688.47,10549.06,0,0,,Unit
111,01465-TL1-G00-G          ,BRAKE HOSE FRT (LH) HONDA/ ACCORD 08-13,1,3817.8,9544.5,0,0,,Unit
112,01466-S04-000            ,BRAKE HOSE RR (L/R) HONDA/CIVIC 96-99,1,0,0,0,0,,Unit
113,01466-S04-000-G          ,BRAKE HOSE RR (L/R) HONDA/CIVIC 96-99,1,0,0,0,0,,Unit
114,01466-S04-900            ,BRAKE HOSE RR (RH) HONDA/CIVIC 96-00,1,0,0,0,0,,Unit
115,01466-S04-900-G          ,BRAKE HOSE RR (RH) HONDA/CIVIC 96-00,1,0,0,0,0,,Unit
116,01466-S07-000-G          ,BRAKE HOSE RR HONDA/CR-V 96-01,1,1500,1500,0,0,,Unit
117,01466-S0A-000-G          ,BRAKE HOSE RR (RH) HONDA/ACCORD CF-3 TORNEO 1.8 98-01,1,3700,7400,0,0,,Unit
118,01466-S2H-000-G          ,BRAKE HOSE RR (L/R) HONDA/HR-V 99-,1,0,0,0,0,,Unit
119,01466-S3N-000-G          ,BRAKE HOSE RR (L/R) HONDA/ODYSSEY 2.3 00-,1,0,0,0,0,,Unit
120,01466-S5A-000-G          ,BRAKE HOSE RR HONDA/CIVIC 01-,1,0,0,0,0,,Unit
121,01466-SAA-000-G          ,"BRAKE HOSE RR RH HONDA/CITY , 03-",1,0,0,0,0,,Unit
