SKU,DESCRIPTION,VEHICLE,MODEL,LOCATION,QUANTITY,COST,PRICE,WHOLEPRICE,SUPPLIER
32009X-J,WHEEL BEARING<FRONT WHEEL INNER>,ISUZU,"BIGHORN,TROOPER 4WD",C6*C,5.000,497.50,2147.83,2147.83,DAYTONA SALES COMPANY L
3201,HORN RELAY,LADA,ALL,F4,0.000,0.00,127.27,0.00,
32101-32051-G,FLEX PLATE TOY/CAMRY S,FLEX PLATE TOY/CAMRY S,FLEX PLATE TOY/CAMRY S,,0.000,1.00,1.01,1.01,AUTO PARTS FACTORY
32113-M8000-G,OIL SEAL<GEAR BOX FRONT>25X40X8,NISSAN,"SUNNY B13,B14",L16*C,2.000,257.40,417.40,417.39,ISUZU & MORE COMPANY LT
32113-M8000-J,OIL SEAL<GEAR BOX FRONT>25X40X8,NISSAN,"SUNNY B13,B14",K12*,0.000,109.05,326.18,326.18,DANGEL'S AUTO SPARES
32114-Y4000/Y4400-T,OIL SEAL<GEAR BOX FRONT>30X45X8,NISSAN,"PICK UP,VANETTE",L30*,0.000,133.00,326.18,326.18,BERTS AUTO PARTS
32114-Y4000-G,OIL SEAL<GEAR BOX FRONT>,NISSAN,"PICK UP KA24,Z24,VANETTE",L6*C,5.000,439.40,847.83,847.83,ISUZU & MORE COMPANY LT
32136-H5000,OIL SEAL <GEARBOX REAR>30X45X77X45,NISSAN,"VANETTE,120Y",L8*,0.000,539.00,789.70,789.70,BERTS AUTO PARTS
32136-H5010-G,OIL SEAL<GEARBOX REAR>,NISSAN,"VANETTE A13,A14",L SIDE,0.000,836.50,1201.72,1201.72,BERTS AUTO PARTS
32136-U0100,OIL SEAL<GEARBOX REAR>35X50X11,NISSAN,"PICK UP KA24,Z24",L35*,0.000,185.50,391.30,391.30,BERTS AUTO PARTS
32136-U0100-G,OIL SEAL<GEARBOX REAR>35X50X11,NISSAN,"PICK UP KA24,Z24",L32*C,3.000,730.80,1182.61,1182.61,ISUZU & MORE COMPANY LT
32136-U010A-G,"OIL SEAL<REAR,GEAR BOX>",NISSAN,"PICK UP,Z24,KA24,URVAN",L7,0.000,637.00,918.46,910.00,BERTS AUTO PARTS
32202-B950A-G,BUSHING<CRANKSHAFT>REAR,NISSAN,"URVAN,CARAVAN,VANETTE",L SIDE*C,2.000,525.00,1000.00,1000.00,BERTS AUTO PARTS
32203-04C00-G,BEARING < G/BOX MAINSH,BEARING < G/BOX MAINSH,BEARING < G/BOX MAINSH,,0.000,1.00,1.01,1.01,AUTO PARTS FACTORY
32205-FBJ,BEARING<GEAR BOX>,NISSAN,B13,N14*C,2.000,916.50,1521.74,1521.74,STEEL CRAFT LTD
32206,BEARING,UNIVERSAL,,N12,0.000,821.00,1227.47,1227.47,STEEL CRAFT LTD
32207-KYOCM,WHEEL BEARING<FRONT OUTER>,TOYOTA/ISUZU,"COASTER 2001-2013,ELF 4JJ1",N18*C,2.000,1695.65,3130.44,3130.44,STRAIGHT CAMP DISTRIBUT
32207-TIMKEN,WHEEL BEARING<FRONT OUTER>,TOYOTA,COASTER 2001-,C5,0.000,1430.54,2274.68,2274.68,BEARING & ACCESSORIES L
32209-FBJ,WHEEL BEARING<REAR WHEEL>,ISUZU,"TROOPER,BIG HORN 4X4",N11*C,1.000,2136.00,3261.80,3261.80,STEEL CRAFT LTD
32210-KYOCM,WHEEL BEARING<INNER>,ISUZU,ELF 2000-2012 4JJ1,N8*C,3.000,1700.00,3269.57,3269.57,STRAIGHT CAMP DISTRIBUT
32211-FBJ,WHEEL BEARING<REAR WHEEL OUTER>,TOYOTA,COASTER 2000-,C7,0.000,2484.24,3690.99,3690.99,BEARING & ACCESSORIES L
32211-J,WHEEL BEARING<REAR WHEEL OUTER>,TOYOTA,COASTER 2000-2018,N9*C,2.000,3393.71,4695.65,4695.65,BEARING & ACCESSORIES L
32211-KYOCM,WHEEL BEARING<REAR WHEEL OUTER>,TOYOTA,COASTER 2000-,C4 SIDE*C,3.000,1913.04,3304.72,3304.72,STRAIGHT CAMP DISTRIBUT
32212-12V,HORN,UNIVERSAL,DOUBLE BLACK,C7,0.000,1071.00,1531.92,1531.92,BERTS AUTO PARTS
32212-FBJ,WHEEL BEARING<REAR WHEEL INNER>,TOYOTA,COASTER 2000-2018,C13*C,2.000,2401.00,3826.09,3826.09,STEEL CRAFT LTD
32212-J,WHEEL BEARING<REAR WHEEL INNER>,TOYOTA,COASTER 2000-2018,C4 SIDE*C,4.000,3626.58,5130.44,5130.44,BEARING & ACCESSORIES L
32250-LH,MIRROR<DOOR>5WIRE,TOYOTA,"PROBOX,SUCCEED,2003-2013",V23*C,2.000,7856.38,12500.00,12500.00,EFFICIENT AUTO COMPANY
32250-RH,MIRROR<DOOR>5WIRE,TOYOTA,"PROBOX,SUCCEED 2003-2013",V23*C,0.000,7851.72,12500.00,12500.00,EFFICIENT AUTO COMPANY
32290-LH,MIRROR<DOOR>3WIRE,TOYOTA,"PROBOX,SUCCEED 2003-2013",V24*,0.000,5066.27,8826.09,8826.09,EFFICIENT AUTO COMPANY
32290-RH,MIRROR<DOOR>3WIRE,TOYOTA,"PROBOX,SUCCEED 2003-2013",V18*,0.000,4617.99,8826.09,8826.09,EFFICIENT AUTO COMPANY
32304,BEARING,UNIVERSAL,,E5,0.000,0.00,660.40,0.00,
32307-0,ENGINE OIL<2STROKE>,UNIVERSAL,CAM2<2MIX>,Z5*,1.000,255.00,343.48,343.48,ORYON AUTOMOTIVE DISTRI
32307-2RS,BEARING<PINION REAR>,TOYOTA,HIACE 1989-2004 2WD,N14*C,2.000,2260.87,3796.00,3796.00,STRAIGHT CAMP DISTRIBUT
32307-J,BEARING<PINION REAR>,TOYOTA,HIACE 1988-2003 2WD,C6*C,1.000,4211.74,6069.57,6069.57,BEARINGS & ACCESSORIES
32310,ENGINE OIL<2STROKE>,UNIVERSAL,2STROKE<CAM2>,,0.000,135.00,208.70,208.70,ORYON AUTOMOTIVE DISTRI
323122,AIR HORN,,2TRUMPET,Z6*,0.000,9391.30,14130.44,14130.44,AUTOPARTS FACTORY
32327-6,SILICONE,,JB WELD,,0.000,262.66,420.60,420.60,TURBOLIFE MANUFACTURING
3235,CLIPS,,,,0.000,55.00,120.00,120.00,GEM KOOL
3235-C,CLIPS,,,OIL PASGE*,0.000,45.00,78.26,78.26,CARMATTAZ AUTO ACCESSOR
325-S,O/RING SEAL,,,,23.000,0.23,72.96,72.96,JOKMEL WALLACE
326-S,O/RING SEAL,,,,19.000,0.23,73.91,73.91,JOKMEL WALLACE
32700-54G10,COIL<IGNITION>,SUZUKI,LIANA 2003-,,0.000,2343.35,3862.66,3862.66,BERTS AUTO PARTS
32700-P0A-000-USA,LEAD<SPRK PLUG>,HONDA,ACCORD 1994-1997,P17*C,0.000,2870.00,4913.04,4913.04,DAYTONA SALES COMPANY L
32700-PAA-A02,LEAD<SPARK PLUG>,HONDA,"ACCORD 1994-2001,ODESSEY 1997-2002",P17*,0.000,2800.00,5013.04,5013.04,DAYTONA SALES COMPANY L
32700-PM3-010,LEAD<SPARK PLUG>,HONDA,"CIVIC 1989-1991,ACCORD 1989-1990",M&K WALL,0.000,1328.60,2145.92,2145.92,BERTS AUTO PARTS
32700-PT0-000,LEAD<SPARK PLUG>,HONDA,ACCORD 1990-1993,P15*,0.000,2765.00,4069.57,4069.57,BERTS AUTO PARTS
32700-PT0-000-N,LEAD<SPARK PLUG>,HONDA,ACCORD 1990-1996,K18,0.000,1538.60,3047.21,3047.21,BERTS AUTO PARTS
3271K,CV JOINT,NISSAN,SEN SUN 1.3 1.6 PRESEA 1.5,I6,0.000,1800.00,2130.00,0.00,
32722-P2A-000-BB,LEAD<SPARK PLUG>,HONDA,"CIVIC 1996-2000 EK3,PARTNER",P17*C,0.000,3710.00,5621.74,5621.74,DAYTONA SALES COMPANY L
32722-P2A-000-C,LEAD<SPARK PLUG>,HONDA,CIVIC 1996-2000 EK3,M&K WALL*C,0.000,1484.00,2913.04,2913.04,BERTS AUTO PARTS
32722-P2A-000-J,LEAD<SPARK PLUG>,HONDA,CIVIC 1996-2000,P15*,0.000,2436.00,3862.66,3862.66,BERTS AUTO PARTS
32722-P2A-003-G,CABLE SET SPARK PLUG H,CABLE SET SPARK PLUG H,CABLE SET SPARK PLUG H,,0.000,1.00,1.01,1.01,BERTS AUTO PARTS
32722-P75-A01-BB,LEAD<SPARK PLUG>,HONDA,CRV 1997-2000,O6*C,0.000,3080.00,5100.00,5100.00,DAYTONA SALES COMPANY L
32722-P75-A01-G,"CABLE SET,SPARK PLUG H","CABLE SET,SPARK PLUG H","CABLE SET,SPARK PLUG H",,0.000,1.00,1.01,1.01,BERTS AUTO PARTS
32722-P75-A01-J,LEAD <SPARK PLUG>,HONDA,CRV 1997-2000,O1,0.000,2912.00,4206.00,4206.00,BERTS AUTO PARTS
32722-PM3-000,LEAD<SPARK PLUG>,HONDA,CIVIC 1988-95,O1*,0.000,1205.10,3217.39,3217.39,EFFICIENT AUTO COMPANY
32722-PM3-010-BB,LEAD<SPARK PLUG>,HONDA,CIVIC 1988-1995,P16*C,4.000,3780.00,5804.35,5804.35,DAYTONA SALES COMPANY L
32722-PM3-010-T,LEADS<SPARK PLUG>,HONDA,"CIVIC,INTEGRA 1988-1995",P13,0.000,1250.00,2145.92,2145.92,EFFICIENT AUTO COMPANY
32722-PT3-A00-G,"CABLE SET,SPARK PLUG H","CABLE SET,SPARK PLUG H","CABLE SET,SPARK PLUG H",,0.000,1.00,3776.82,3776.82,BERTS AUTO PARTS
327-S,O/RING SEAL,,,,10.000,0.23,73.91,73.91,JOKMEL WALLACE
32866,FLUID TRANSMISSION<SYNTHETIC>,,RALLYE,,15.000,380.00,729.61,729.61,BEARING & SEALS LTD
329213,ENGINE OIL,,FEBI,,0.000,400.00,463.52,463.52,TROPICAL BATTERY
32BCS4-2NSCNC3,BEARING<GEAR BOX>,ISUZU,PICK UP,N18*C,4.000,1450.00,2231.76,2231.76,STRAIGHT CAMP DISTRIBUT
32BD4718T12DDU-J,BEARING<A/C COMPRESSOR>32X47X18,SUZUKI/NISSAN,SWIFT/TIIDA,N12*C,0.000,2371.95,3600.00,3600.00,BEARING & SEALS LTD
32X47X18-KYOCM,BEARING<A/C COMPRESSOR>,MAZDA,"PREMACY 2009-2014,TIIDA HR15,HR16",C7*C,0.000,1739.13,2869.57,2869.57,STRAIGHT CAMP DISTRIBUT
32X47X18-PFI,BEARING<A/C COMPRESSOR>,NISSAN,"TIIDA,BLUEBIRD",N15*C,0.000,1580.61,2739.13,2739.13,BEARINGS & ACCESSORIES
32X52X20<2TS2-DF0676,BEARING<A/C COMPRESSOR>,,,N12*C,1.000,1373.05,2069.57,2069.57,BEARING & SEALS LTD
32X55X20,BEARING<A/C>,SUBARU,IMPREZA,C6*C,0.000,1739.13,2739.13,2739.13,STRAIGHT CAMP DISTRIBUT
32X55X23,BEARING<A/C COMPRESSOR>,,,N15*C,3.000,1300.00,2321.74,2321.74,STRAIGHT CAMP DISTRIBUT
33.023N,SHOULDER GUARD,NISSAN,,J2,0.000,1.00,1.01,1.01,HART'S AUT PARTS
33.023T,SHOULDER GUARD,TOYOTA,,J3,0.000,0.00,173.91,0.00,
33.5002,TIRE GAUGE PENCIL,UNIVERSAL,PENCIL,DISPLAY,0.000,199.00,300.43,300.53,MACKCHEM TRADING & DIST
33.5007,TYRE GAUGE,UNIVERSAL,,OIL ROOM*,0.000,550.00,808.70,808.70,MACKCHEM TRADING & DIST
33005-KYOCM,BEARING<GEAR BOX>,SUZUKI,SWIFT,C5*C,3.000,700.00,1184.55,1184.55,STRAIGHT CAMP DISTRIBUT
3305090385-18002,BUSHING IDLER ARM,TOYOTA,P/UP LN80/85,,0.000,72.54,145.92,0.00,
331008-GSP,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005 ES1,MAT SIDE*C,0.000,7840.00,12082.61,12082.61,DAYTONA SALES COMPANY L
331008-JSK,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005 ES1 1500,KTA16*,0.000,5905.15,9456.52,9456.52,EFFICIENT AUTO COMPANY
331008-NDK,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005 ES1 1500,KTB TOP*,0.000,6252.30,9469.57,9469.57,EFFICIENT AUTO COMPANY
331008-NSN,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005 ES1 1500,KITCHEN,0.000,4200.00,6824.04,6824.04,DAYTONA SALES COMPANY L
331008-WELMET,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005 ES1 1500,KTA TOP*C,2.000,5921.46,10086.96,10086.96,EFFICIENT AUTO COMPANY
331009-GSP,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005 ES1,MAT SIDE*C,1.000,7840.00,12082.61,12082.61,DAYTONA SALES COMPANY L
331009-JSK,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005 ES1 1500,KTB6*,0.000,5905.15,9456.52,9456.52,EFFICIENT AUTO COMPANY
331009-KOMBAT,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005 ES1 1500,KITCHEN*,0.000,3367.50,6824.04,6824.04,AUTO DON TRADING
331009-NDK,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005 ES1 1500,KTB TOP*,0.000,6475.12,10069.57,10069.57,EFFICIENT AUTO COMPANY
331009-WELMET,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005 ES1 1500,KTA TOP*C,2.000,5921.46,10086.96,10086.96,EFFICIENT AUTO COMPANY
331010-KOMBAT,FRONT STRUT<RH>,HONDA,"CIVIC 2001-05 1700,STREAM 2001-2005",OIL ROOM*,0.000,4915.00,7547.83,7547.83,AUTO DON TRADING
331010-LUXE,FRONT STRUT<RH>,HONDA,"CIVIC 2001-05 1700,STREAM 2001-2005",OIL ROOM*C,1.000,8610.00,12743.48,12743.48,AUTO DON TRADING
331010-NDK,FRONT STRUT<RH>,HONDA,"CIVIC 2001-05 1700,STREAM 2001-2005",KKTA18*C,5.000,6583.79,11826.09,11826.09,EFFICIENT AUTO COMPANY
331010-WELMET,FRONT STRUT<RH>,HONDA,"CIVIC 2001-05 D17,STREAM 2001-2005",KTB TOP*C,1.000,6906.60,11521.74,11521.74,EFFICIENT AUTO COMPANY
331011-KOMBAT,FRONT STRUT<LH>,HONDA,"CIVIC 2001-05 1700,STREAM 2001-2005",OIL ROOM*,0.000,4915.00,7391.30,7391.30,AUTO DON TRADING
331011-LUXE,FRONT STRUT<LH>,HONDA,"CIVIC 01-2005 1700,STREAM 2001-2005",OIL ROOM*C,1.000,7900.00,12743.48,12743.48,AUTO DON TRADING
331011-NDK,FRONT STRUT<LH>,HONDA,"CIVIC 01-2005 1700,STREAM 2001-2005",KTB TOP*C,2.000,6583.79,11826.09,11826.09,EFFICIENT AUTO COMPANY
331011-WELMET,FRONT STRUT<RH>,HONDA,"CIVIC 01-2005 1700,STREAM 2001-2005",KTB TOP*C,0.000,6907.42,11521.74,11521.74,EFFICIENT AUTO COMPANY
331012,FRONT STRUT<LH>,HONDA,STREAM 2001-2005,,0.000,6804.00,10630.44,10630.44,BERTS AUTO PARTS
331013,FRONT STRUT<LH>,HONDA,STREAM 2001-2005,,0.000,6804.00,10630.44,10630.44,BERTS AUTO PARTS
33101-S5A-A01,HEAD LAMP<RH>,HONDA,CIVIC 2001-2004,,0.000,3843.00,5490.11,5490.00,BERTS AUTO PARTS
331021,"STRUT<FRT,RH>",HONDA,CIVIC,,0.000,2741.94,11420.00,11420.00,TYRE WAREHOUSE AUTO PAR
331021-C,FRONT STRUT<RH>,HONDA,CIVIC 2001-2005,OIL ROOM,0.000,2145.92,5579.40,5579.40,TYRE WAREHOUSE AUTO PAR
331022,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005,,0.000,5595.80,11420.00,11420.00,TYRE WAREHOUSE AUTO PAR
331022-C,FRONT STRUT<LH>,HONDA,CIVIC 2001-2005,OIL ROOM,0.000,2145.92,5579.40,5579.40,TYRE WAREHOUSE AUTO PAR
331027,"STRUT<FRT,RH>",HONDA,CIVIC,,1.000,10472.00,14960.00,14960.00,BERTS AUTO PARTS
331028,"STRUT<FRT,LH>",HONDA,CIVIC,,1.000,10472.00,14960.00,14960.00,BERTS AUTO PARTS
33102-S0A-J01-G,"IGNITER UNIT,HID SYSTE","IGNITER UNIT,HID SYSTE","IGNITER UNIT,HID SYSTE",,0.000,1.00,1.01,1.01,TYRE WAREHOUSE AUTOPART
331035-C,FRONT SHOCK<RH>,HONDA,CRV 2001-2005,,0.000,7392.00,12608.70,12608.70,BERTS AUTO PARTS
331035-JSK,FRONT STRUT<RH>,HONDA,CRV 2001-2005,KTA18*,0.000,5623.15,9121.74,9121.74,EFFICIENT AUTO COMPANY
331035-WELMET,FRONT STRUT<RH>,HONDA,CRV 2001-2005,KTB TOP*C,4.000,5269.14,9286.96,9286.96,EFFICIENT AUTO COMPANY
331036-C,FRONT SHOCK<LH>,HONDA,CRV 2001-2005,,0.000,7392.00,12608.70,12608.70,BERTS AUTO PARTS
331036-JSK,FRONT STRUT<LH>,HONDA,CRV 2001-2005,KTA10*,0.000,5623.15,9121.74,9121.74,EFFICIENT AUTO COMPANY
331036-WELMET,FRONT STRUT<LH>,HONDA,CRV 2001-2005,KITCHEN*C,4.000,5269.14,9286.96,9286.96,EFFICIENT AUTO COMPANY
331048-KYB,FRONT STRUT<RH>,HONDA,CRV 2005-2006,KTA1*C,2.000,18480.00,25652.17,25652.17,DAYTONA SALES COMPANY L
331048-WELMET,FRONT STRUT<RH>,HONDA,CRV 2004-2006,KTA16*C,0.000,5799.96,10834.78,10834.78,EFFICIENT AUTO COMPANY
331049-KYB,FRONT STRUT<LH>,HONDA,CRV 2005-2006,KTA2*C,2.000,18480.00,25652.17,25652.17,DAYTONA SALES COMPANY L
331049-WELMET,FRONT STRUT<LH>,HONDA,CRV 2004-2006,KTA16*C,1.000,5799.96,10834.78,10834.78,EFFICIENT AUTO COMPANY
331050,FRONT STRUT<RH>,HONDA,CRV 2002-2004,KTA4*C,1.000,18480.00,25652.17,25652.17,DAYTONA SALES COMPANY L
331051,FRONT STRUT<LH>,HONDA,CRV 2002-2004,KTA4*C,1.000,18480.00,25652.17,25652.17,DAYTONA SALES COMPANY L
33111-06R00-G,OIL SEAL<TRANSFER BOX>52X66X9,NISSAN,"XTRAIL,WINGROAD,EXPERT,SERENA,CUBE 4WD",K26*C,2.000,968.00,1443.48,1443.48,ISUZU & MORE COMPANY LT
33115-SH3-003-G,BULB HEAD LAMP HONDA/A,BULB HEAD LAMP HONDA/A,BULB HEAD LAMP HONDA/A,,0.000,1.00,1.01,1.01,AUTO DON TRADING COMPAN
33142-33G10-G,OIL SEAL<EXTENSION HOUSING>42X66X10,NISSAN,CARAVAN 2001-,K13*C,2.000,860.00,1369.57,1369.57,ISUZU & MORE COMPANY LT
33142-4BA0B-G,OIL SEAL<TRANSFER BOX>,NISSAN,XTRAIL T32 2012-2017 MR20 CVT,K11*C,1.000,2000.00,2934.78,2934.78,ISUZU & MORE COMPANY LT
33142-4N200-G,OIL SEAL<TRANSFER CASE>59X80X12X18,NISSAN,"MURANO,INFINITY",L5*C,4.000,2400.00,3360.87,3360.87,ISUZU & MORE COMPANY LT
33150-SV4-P02-G,HEAD LAMP (LH),HONDA,ACCORD 96-98,,0.000,1.00,1.01,1.01,BERTS AUTO PARTS
33151-S04-G02,HEAD LAMP (LH),HONDA,CIVIC 95-99,,0.000,4914.00,7107.30,7107.30,BERTS AUTO PARTS
33151-S5A-A01,HEAD LAMP<LH>,HONDA,CIVIC 2001-2004,,0.000,3773.00,5490.00,5490.00,BERTS AUTO PARTS
3315-BLK,ALLIGATOR CLIP,,BLACK,R SHELF,0.000,23.00,51.50,51.50,STEPHENSON'S ELECTRONIC
3315-RD,ALLIGATOR CLIP,,RED,R SHELF,0.000,23.00,51.50,51.50,STEPHENSON'S ELECTRONIC
332012,REAR STRUT LH TOY/CORO,REAR STRUT LH TOY/CORO,REAR STRUT LH TOY/CORO,,1.000,10878.00,15540.00,15540.00,BERTS AUTO PARTS
332051-C,REAR SHOCK,SUZUKI,SWIFT 1989-1996,U3 TOP*,0.000,2730.00,4130.44,4130.44,BERTS AUTO PARTS
332052-LUXE,FRONT STRUT<RH>,SUZUKI,SWIFT 1988-1996,KTA11*,0.000,2772.00,4077.25,4077.25,BERTS AUTO PARTS
332053-C,FRONT STRUT<LH>,SUZUKI,SWIFT 1988-1996,OIL ROOM,0.000,2772.00,4077.25,4077.25,BERTS AUTO PARTS
332056-GSP,REAR STRUT<RH>,NISSAN,"SUNNY,B13 90-94",BB SIDE*C,0.000,5320.00,7717.39,7717.39,DAYTONA SALES COMPANY L
332056-JSK,REAR STRUT<RH>,NISSAN,SUNNY B13,KTB6*C,1.000,3020.25,4565.22,4565.22,EFFICIENT AUTO COMPANY
332056-LUXE,REAR STRUT<RH>,NISSAN,SUNNY B13,KTA16,0.000,2995.00,4120.17,4120.17,GENESIS
332056-NDK,REAR STRUT<RH>,NISSAN,SUNNY B13,OIL ROOM*,0.000,4242.25,6595.65,6595.65,EFFICIENT AUTO COMPANY
332056-NSN,REAR STRUT<RH>,NISSAN,SUNNY B13,KTA18*,0.000,2795.50,4274.68,4274.68,DAYTONA SALES COMPANY L
332056-WELMET,REAR STRUT<RH>,NISSAN,SUNNY B13,KITCHEN*C,2.000,3669.30,5739.13,5739.13,EFFICIENT AUTO COMPANY
332057-GSP,REAR STRUT<LH>,NISSAN,"SUNNY,B13 90-94",BB SIDE*C,0.000,5320.00,7717.39,7717.39,DAYTONA SALES COMPANY L
332057-JSK,REAR STRUT<LH>,NISSAN,SUNNY B13,KITCHEN*,0.000,3020.24,4565.22,4565.22,EFFICIENT AUTO COMPANY
332057-NDK,REAR STRUT<LH>,NISSAN,SUNNY B13,OIL ROOM*,0.000,4242.25,6595.65,6595.65,EFFICIENT AUTO COMPANY
332057-NSN,REAR STRUT<LH>,NISSAN,SUNNY B13,KTA18*,0.000,2796.50,4274.68,4274.68,DAYTONA SALES COMPANY L
332057-PC,REAR STRUT<LH>,NISSAN,SUNNY B13,OIL ROOM*C,1.000,4665.00,6821.74,6821.74,GENESIS
332057-WELMET,REAR STRUT<LH>,NISSAN,SUNNY B13,KITCHEN*C,2.000,3465.45,6217.39,6217.39,EFFICIENT AUTO COMPANY
332058,REAR STRUT (RH) NIS/PU,REAR STRUT (RH) NIS/PU,REAR STRUT (RH) NIS/PU,,0.000,1.00,1.01,1.01,DANGELS AUTO SPARES
332063-NDK,FRONT STRUT<RH>,NISSAN,BLUEBIRD U12,KTA TOP*C,2.000,3285.00,6608.70,6608.70,STOCK TAKING
332064-NDK,FRONT STRUT<LH>,NISSAN,BLUEBIRD U12,KTA TOP*C,2.000,3285.00,6608.70,6608.70,STOCK TAKING
332106,FRONT STRUT<RH>,TOYOTA,LOGO,BB TOP*C,1.000,7822.50,11330.47,11330.47,BERTS AUTO PARTS
332107,FRONT STRUT<LH>,HONDA,LOGO,BB TOP*,0.000,7822.50,11330.47,11330.47,BERTS AUTO PARTS
33210-FBJ,WHEEL BEARING<FRONT>INNER,TOYOTA,COASTER 2000-,C6*,0.000,3732.75,5478.26,5478.26,STEEL CRAFT LTD
33210-J,WHEEL BEARING<FRONT INNER>,TOYOTA,COASTER 2000-,N8*C,4.000,6134.37,8895.65,8895.65,BEARINGS & ACCESSORIES
332-1114-LH,HEAD LAMP LH CHE/CALAL,HEAD LAMP LH CHE/CALAL,HEAD LAMP LH CHE/CALAL,,0.000,1.00,1.01,1.01,TYRE WAREHOUSE AUTOPART
332112-C,FRONT STRUT<RH>,MITSUBISHI,LANCER 1997-2000,KITCHEN,0.000,3731.00,5493.56,5493.56,BERTS AUTO PARTS
332112-J,FRONT STRUT<RH>,MITSUBISHI,LANCER 1996-2000,,0.000,6549.35,9390.56,9390.56,BERTS AUTO PARTS
332113-C,FRONT STRUT<LH>,MITSUBISHI,LANCER 1997-2000,KITCHEN,0.000,3731.00,5493.56,5493.56,BERTS AUTO PARTS
332113-J,FRONT STRUT<LH>,MITSUBISHI,LANCER 1996-2000,,0.000,6549.35,9390.56,9390.56,BERTS AUTO PARTS
332114,REAR STRUT,TOYOTA,"CORONA,CARINA 1998-2001",KTA3*,0.000,9397.50,13608.70,13608.70,DAYTONA SALES COMPANY L
332114 LUXE,REAR STRUT,TOYOTA,CORONA; CALDINA 96-01,,0.000,5096.00,7739.13,7739.13,BERTS AUTO PARTS
332115,REAR STRUT,TOYOTA,"CORONA,CARINA 1998-2001",KTA3*,0.000,9397.50,13608.70,13608.70,DAYTONA SALES COMPANY L
332115 LUXE,REAR STRUT,TOYOTA,CORONA CALDINA 96-01,,0.000,5096.00,7739.13,7739.13,BERTS AUTO PARTS
332116,FRONT STRUT<RH>,NISSAN,"SUNNY B15,BLUEBIRD 2001-2005",U2,0.000,2548.00,3862.66,3862.66,BERTS AUTO PARTS
332116-BO,FRONT STRUT<RH>,NISSAN,"SUNNY B15,BLUEBIRD 2001-2005",,0.000,2930.00,3175.97,3004.29,BERTS AUTO PARTS
332116-EMP,FRONT STRUT<RH>,NISSAN,"SUNNY B15,BLUEBIRD 2001-2005",KITCHEN&U7,0.000,2489.27,3562.23,3562.23,TYRES-R-US LTD
332116-LUXE,FRONT STRUT<RH>,NISSAN,"SUNNY B15,BLUEBIRD 2001- 2005",KITCHEN,0.000,2548.00,4721.03,4721.03,BERTS AUTO PARTS
332117,FRONT STRUT<LH>,NISSAN,"SUNNY B15,SYLPHY 2001-",U2&3,0.000,2448.60,3605.15,3605.15,BERTS AUTO PARTS
332117-BO,FRONT STRUT<LH>,NISSAN,"SUNNY B15,BLUEBIRD 2001-2005",,0.000,2178.72,3175.97,3063.83,TYRE WAREHOUSE AUTOPART
332117-LUXE,FRONT STRUT<LH>,NISSAN,"SUNNY B15,BLUEBIRD 2001-2005",KITCHEN,0.000,2548.00,4721.03,4721.03,BERTS AUTO PARTS
332120-J,FRONT STRUT,TOYOTA,PASSO 2004-,U6*,0.000,9397.50,12973.91,12973.91,DAYTONA SALES COMPANY L
332120-LUXE,FRONT STRUT<L&R>,TOYOTA/DIAHATSU,"PASSO,BOON",KTB5*C,0.000,4100.00,6304.35,6304.35,AUTO DON TRADING
332120-NAKAMOTO,FRONT SHOCK,TOYOTA/DAIHATSU,"PASSO,BOON",OIL ROOM*,0.000,5200.00,7808.70,7808.70,AUTO DON TRADING
33212-10012,FORK/1ST,TOYOTA,STARLET 85,,0.000,1.00,2.60,2.60,TYRE WAREHOUSE AUTOPART
332141-WELMET,FRONT STRUT<RH>,SUZUKI,SWIFT K13 2010-,KTA6*C,4.000,3669.25,6260.87,6260.87,EFFICIENT AUTO COMPANY
332142-WELMET,FRONT STRUT<LH>,SUZUKI,SWIFT K13 2010-,KTA6*C,4.000,3669.25,6260.87,6260.87,EFFICIENT AUTO COMPANY
332144-WELMET,FRONT STRUT<RH>,NISSAN,"NOTE,MARCH 2012-",U6*C,4.000,3436.55,6582.61,6582.61,EFFICIENT AUTO COMPANY
332145-WELMET,FRONT STRUT<LH>,NISSAN,"NOTE,MARCH 2012-",U9*C,4.000,3436.55,6582.61,6582.61,EFFICIENT AUTO COMPANY
332146,REAR STRUT<RH>,NISSAN,"SUNNY B15,B14<4X4>",D1,0.000,6296.50,9055.80,9055.80,BERTS AUTO PARTS
332147,REAR STRUT<LH>,NISSAN,"SUNNY B15,B14<4X4>",D1*,0.000,6296.50,9055.79,9055.79,BERTS AUTO PARTS
332148-KYB,FRONT STRUT<RH>,NISSAN,NOTE 2014-,KTA1*C,2.000,9642.50,13843.48,13843.48,DAYTONA SALES COMPANY L
