SKU,DESCRIPTION,VEHICLE,MODEL,LOCATION,QUANTITY,COST,PRICE,WHOLEPRICE,SUPPLIER
0000571,BATTERY TERNINAL,UNIVERSAL,,DISPLAY,1.000,170.00,231.76,231.76,MACKCHEM TRADING & DIST
00017,GEAR OIL<80W/90>QUART,UNIVERSAL,SUPER S,Y ROOM*,0.000,760.87,1086.96,1086.96,STOCK TAKING
00019,MOTOR FLUSH <CYCLO>,UNIVERSAL,,,1.000,360.00,463.52,463.52,AUTOMOTIVE ART
000200,SPRAY PAINT,,ORANGE<HEAT RESISTANT>,OIL ROOM*,0.000,730.00,956.52,956.52,MACKCHEM TRADING & DIST
000211,SPRAY PAINT,,WHITE<HEAT RESISTANT>,OIL ROOM*,0.000,730.00,956.52,956.52,MACKCHEM TRADING & DIST
00024,COOLANT<QUART>,,RED,,19.000,125.00,175.00,175.00,MR MYRIE
00025,GEAR OIL<85/140>W/SPROUT,,SUPER S,BB STEP*,0.000,760.87,956.52,956.52,STOCK TAKING
00029,POWER STEERING FLUID,,SUPER S,,0.000,166.66,278.26,278.26,LUCALZA CARIBBEAN LTD
00030,PROTECTOR 2000<4OZ>,UNIVERSAL,MACK CHEM<CHERRY>,R SHLF*,1.000,304.35,434.78,434.78,MACKCHEM TRADING & DIST
00031,PROTECTOR 2000<8.OZ>,UNIVERSAL,MACK CHEM<CHERRY>,R SHLF*,12.000,456.52,652.17,652.17,MACKCHEM TRADING & DIST
00043,HEADLAMP CLEANER,,TURTLE WAX,OILRM SHLF,1.000,1302.15,1608.70,1608.70,MIRACLE CORPORATION LTD
000434,HEADLAMP CLEANER&SEALANT,UNIVERSAL,TURTLE WAX,OILRM SHF*,0.000,1705.80,2304.35,2304.35,MIRACLE CORPORATION LTD
00044-C,SYSTEM CLEANER,,CYCLO<16OZ>,R SHELF*,3.000,1105.00,1473.91,1473.91,AUTOMOTIVE ART
00044-S,ENGINE OIL<40GRADE>,US BEST,PAIL,,0.000,5107.50,6866.96,6866.96,TYRE WAREHOUSE AUTO PAR
00046,PROTECTOR 2000,,STRAWBERRY<80Z>,,0.000,845.00,1173.91,1173.91,MACKCHEM TRADING & DIST
00048-ASSORTED,AIR FRESHENER<CAN>SMALL,,ASSORTED,OIL ROOM*,1.000,280.35,391.30,391.30,SUPERKING DISTRIBUTORS
000623,TWO STROKE OIL,,ABRO,,0.000,128.76,163.09,163.09,BEEP BEEP TYRES & LUBE
000650,ANTENNA,,,DISPLAY,0.000,650.00,909.87,909.87,AUTOPARTS FACTORY
00066,TUBE GREASE<MP2>,MULTI-PURPOSE,BLACK<SUPER S>,SHL/STEP*,17.000,825.00,1150.00,1150.00,MR MYRIE
00067,TUBE GREASE<MP2>,MULTI-PURPOSE,RED<SUPER S>,SHL/STEP*,22.000,850.00,1150.00,1150.00,MR MYRIE
00090,OIL TREATMEN<CYCLO>,UNIVERSAL,PREMIUM GOLD,,0.000,450.00,643.77,643.77,AUTOMOTIVE ART
00091,OIL TREATMENT,,CYCLO,,1.000,440.30,575.11,575.11,AUTOMOTIVE ART
00092,ENGINE OIL<10W/30>,UNIVERSAL,CASTROL GTX,,0.000,572.65,656.66,656.65,SOL-PETROLEUM JA LTD
00097,SMOKE OUT<OIL TREATMENT>,UNIVERSAL,,,0.000,209.00,283.26,283.26,BEARING & SEALS LTD
00102,BRAKE CLEANER,,SUPER S,,0.000,275.35,478.26,478.26,LUCALZA CARIBBEAN LTD
00103,SPRAY PAINT,UNIVERSAL,SILVER,OIL ROOM*,0.000,1105.62,1547.83,1547.83,MACKCHEM TRADING & DIST
00111,BRAKE CLEANER,,CYCLO,,2.000,447.60,557.94,557.94,AUTOMOTIVE ART
001150,PATTEX GLUE,UNIVERSAL,,OIL ROOM*C,24.000,358.60,486.96,486.96,ADHESIVE BRANDS LTD
00129,ENGINE OIL<10W/30>,,VALVOLINE<DAILY PROTECTION>,Z SIDE*,0.000,905.80,1104.35,1104.35,BERTS AUTO PARTS
00131,GAS TREATMENT,UNIVERSAL,STP,,0.000,232.17,334.76,334.76,TROPICAL BATTERY
00134,SPRAY PAINT,,BLACK,OIL ROOM*,0.000,600.00,847.83,847.83,NUTRA DELIGHT JAMAICA L
00135,ENGINE OIL<20W/50>,,VALVOLINE<WHITE BOTTLE CONVENTIONAL>,Y ROOM*,0.000,862.31,1086.96,1086.96,STOCK TAKING
0013991,TRIM<CHROME>,UNIVERSAL,,,0.000,973.00,1416.31,1416.31,BERTS AUTO PARTS
00143,FLUID<TRANSMISION>,,CASTROL<MULTI-VEHICLE>,STEP FRT*,1.000,925.00,1069.57,1069.57,ACAVISA JM
00144,LEATHER CLEANER & CONDITIONER,UNIVERSAL,,,0.000,654.00,927.04,927.04,BEARING & SEALS LTD
00147,MOTOR FLUSH,UNIVERSAL,,,0.000,1.00,340.00,340.00,SHAWNS AUTO
00149,"ARMORALL<STP,PROTECTANT,4oz>",UNIVERSAL,,,11.000,1.00,214.60,212.77,TROPICAL BATTERY CO LTD
001642,SPRAY PAINT,,DAYTONA YELLOW<HEAT RESISTANT>,OIL ROOM*,0.000,955.50,1260.87,1260.87,MACKCHEM TRADING & DIST
00171,MOTOR FLUSH,,MAG1,,1.000,340.58,678.26,678.26,JOMO AUTO SUPPLIES LTD
00191,SPRAY PAINT,UNIVERSAL,WHITE<ENAMEL>,,2.000,534.00,729.61,729.61,EFFICIENT AUTO COMPANY
00198,SPRAY PAINT<YELLOW>,,HEAT RESISTANT,OIL ROOM,0.000,690.00,918.45,918.45,MACKCHEM TRADING & DIST
001L,A/C OIL,,,R SHLF*,52.000,1141.18,1650.00,1650.00,J WALLACE
00202,SPRAY PAINT,,GRAY<HEAT RESISTANT>,,0.000,730.00,944.21,944.21,MACKCHEM TRADING & DIST
00203,SPRAY PAINT<BLACK>,UNIVERSAL,HEAT RESISTANT,OIL ROOM,0.000,750.00,1004.29,1004.29,MACKCHEM TRADING & DIST
